format,stat_category,player_name,rank,batting_matches,batting_inns,batting_avg,batting_sr,batting_hs,batting_4’s,batting_6’s,batting_50’s,batting_100’s,batting_runs,bowling_matches,bowling_inns,bowling_wickets,bowling_avg,bowling_bowling figure,bowling_economy rate,bowling_sr,bowling_runs
TEST,batting_most_runs,Rahul Dravid,2,164.0,286.0,52.31,42.51,270,1655,21,63,36,13288.0,,,,,,,,
TEST,batting_most_runs,Sunil Gavaskar,3,125.0,214.0,51.12,66.04,236,1016,26,45,34,10122.0,,,,,,,,
TEST,batting_most_runs,Virat Kohli,4,123.0,210.0,46.85,55.57,254,1027,30,31,30,9230.0,,,,,,,,
TEST,batting_most_runs,VVS Laxman,5,134.0,225.0,45.97,49.37,281,1135,5,56,17,8781.0,,,,,,,,
TEST,batting_most_runs,Virender Sehwag,6,104.0,180.0,49.34,82.23,319,1233,91,32,23,8586.0,,,,,,,,
TEST,batting_most_runs,Sourav Ganguly,7,113.0,188.0,42.17,51.25,239,900,57,35,16,7212.0,,,,,,,,
TEST,batting_most_runs,Cheteshwar Pujara,8,103.0,176.0,43.6,44.36,206,863,16,35,19,7195.0,,,,,,,,
TEST,batting_most_runs,Dilip Vengsarkar,9,116.0,185.0,41.37,59.98,166,560,17,35,17,6868.0,,,,,,,,
TEST,batting_most_runs,Mohammad Azharuddin,10,99.0,147.0,45.03,63.08,199,720,19,21,22,6215.0,,,,,,,,
TEST,batting_most_runs,Gundappa Viswanath,11,91.0,155.0,41.93,75.9,222,616,6,35,14,6080.0,,,,,,,,
TEST,batting_most_runs,Kapil Dev,12,131.0,184.0,31.05,94.76,163,587,61,27,8,5248.0,,,,,,,,
TEST,batting_most_runs,Ajinkya Rahane,13,85.0,144.0,38.46,49.5,188,578,35,26,12,5077.0,,,,,,,,
TEST,batting_most_runs,MS Dhoni,14,90.0,144.0,38.09,59.11,224,544,78,33,6,4876.0,,,,,,,,
TEST,batting_most_runs,Mohinder Amarnath,15,69.0,113.0,42.5,85.52,138,330,21,24,11,4378.0,,,,,,,,
TEST,batting_most_runs,Rohit Sharma,16,67.0,116.0,40.57,57.05,212,473,88,18,12,4301.0,,,,,,,,
TEST,batting_most_runs,Gautam Gambhir,17,58.0,104.0,41.95,51.49,206,517,10,22,9,4154.0,,,,,,,,
TEST,batting_most_runs,Ravindra Jadeja,18,89.0,133.0,38.27,55.42,175,398,82,28,6,4095.0,,,,,,,,
TEST,batting_most_runs,KL Rahul,19,67.0,118.0,35.86,51.89,199,485,30,20,11,4053.0,,,,,,,,
TEST,batting_most_runs,Murali Vijay,20,61.0,105.0,38.28,46.29,167,467,33,15,12,3982.0,,,,,,,,
TEST,batting_most_runs,Ravi Shastri,21,80.0,121.0,35.79,48.22,206,317,22,12,11,3830.0,,,,,,,,
TEST,batting_most_runs,Ravichandran Ashwin,22,106.0,151.0,25.75,54.53,124,399,23,14,6,3503.0,,,,,,,,
TEST,batting_most_runs,Rishabh Pant,23,49.0,86.0,42.91,74.24,159,372,94,18,8,3476.0,,,,,,,,
TEST,batting_most_runs,Navjot Sidhu,24,51.0,78.0,42.13,44.88,201,358,38,15,9,3202.0,,,,,,,,
TEST,batting_most_runs,Shubman Gill,25,40.0,73.0,43.07,61.49,269,318,46,8,10,2843.0,,,,,,,,
TEST,batting_most_runs,Syed Kirmani,26,88.0,124.0,26.79,62.39,102,246,3,12,2,2759.0,,,,,,,,
TEST,batting_most_runs,Farokh Maneksha Engineer,27,46.0,87.0,31.08,137.35,121,288,2,16,2,2611.0,,,,,,,,
TEST,batting_most_runs,Yashasvi Jaiswal,28,28.0,53.0,49.23,66.02,214,312,45,13,7,2511.0,,,,,,,,
TEST,batting_most_runs,Anil Kumble,29,132.0,173.0,17.65,38.82,110,302,9,5,1,2506.0,,,,,,,,
TEST,batting_most_runs,Shikhar Dhawan,30,34.0,58.0,40.61,66.94,190,316,12,5,7,2315.0,,,,,,,,
TEST,batting_most_runs,Harbhajan Singh,31,103.0,145.0,18.22,64.8,115,277,42,9,2,2224.0,,,,,,,,
TEST,batting_most_runs,Ajit Wadekar,32,37.0,71.0,31.07,87.21,143,217,2,14,1,2113.0,,,,,,,,
TEST,batting_most_runs,Chetan Chauhan,33,40.0,68.0,31.57,-,97,-,1,16,-,2084.0,,,,,,,,
