player_name,season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling
AB de Villiers,2008,6,6,95,19.0,96.93,5,1,0,0,26*,0,0,0.0,0.0,0.0,
AB de Villiers,2010,7,7,111,15.85,93.27,7,0,0,0,45,0,0,0.0,0.0,0.0,
AB de Villiers,2011,16,13,312,34.66,128.39,21,14,2,0,65,0,0,0.0,0.0,0.0,
AB de Villiers,2012,16,13,319,39.87,161.11,26,15,3,0,64*,0,0,0.0,0.0,0.0,
AB de Villiers,2013,14,14,360,36.0,164.38,34,15,2,0,64,0,0,0.0,0.0,0.0,
AB de Villiers,2014,14,13,395,35.9,158.63,26,24,3,0,89*,0,0,0.0,0.0,0.0,
AB de Villiers,2015,16,14,513,46.63,175.08,60,22,2,1,133*,0,0,0.0,0.0,0.0,
AB de Villiers,2016,16,16,687,52.84,168.79,57,37,6,1,129*,0,0,0.0,0.0,0.0,
AB de Villiers,2017,9,9,216,27.0,132.51,12,16,1,0,89*,0,0,0.0,0.0,0.0,
AB de Villiers,2018,12,11,480,53.33,174.54,39,30,6,0,90*,0,0,0.0,0.0,0.0,
AB de Villiers,2019,13,13,442,44.2,154.0,31,26,5,0,82*,0,0,0.0,0.0,0.0,
AB de Villiers,2020,15,14,454,45.4,158.74,33,23,5,0,73*,0,0,0.0,0.0,0.0,
AB de Villiers,2021,15,14,313,31.3,148.34,23,16,2,0,76*,0,0,0.0,0.0,0.0,
AM Ghazanfar,2026,11,1,2,0.0,66.66,0,0,0,0,2*,1,15,25.93,10.01,15.53,17/2
Aakash Chopra,2008,5,5,42,8.4,80.76,5,0,0,0,24,0,0,0.0,0.0,0.0,
Aakash Chopra,2009,2,1,11,11.0,57.89,2,0,0,0,11,0,0,0.0,0.0,0.0,
Aaron Finch,2010,1,1,21,21.0,100.0,0,1,0,0,21,0,0,0.0,0.0,0.0,
Aaron Finch,2011,6,6,47,7.83,102.17,3,3,0,0,25,0,0,0.0,0.0,0.0,
Aaron Finch,2012,2,2,55,27.5,107.84,8,0,0,0,30,0,0,0.0,0.0,0.0,
Aaron Finch,2013,14,14,456,32.57,135.71,54,16,4,0,67,0,1,49.0,12.25,24.0,1/11
Aaron Finch,2014,13,13,309,28.09,117.49,31,9,2,0,88*,0,0,0.0,0.0,0.0,
Aaron Finch,2015,3,3,23,11.5,69.69,4,0,0,0,10*,0,0,0.0,0.0,0.0,
Aaron Finch,2016,13,12,393,39.3,131.43,45,11,5,0,74,0,0,0.0,0.0,0.0,
Aaron Finch,2017,13,13,299,24.91,166.11,25,19,2,0,72,0,0,0.0,0.0,0.0,
