season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier,total_runs,total_wickets,batting_impact,bowling_impact,consistency_score,overall_performance_score,performance_category,career_matches,career_innings,career_runs,career_wickets,career_fifties,career_hundreds,career_catches,seasons_played
2008,6,6,95,19.0,96.93,5,1,0,0,26*,0,0,0.0,0.0,0.0,,26,1,0,0,1,0,4697,0,0.1458745547338381,0.0,6.593864104422594,2.1385496396591535,Average,169,157,4697,0,37,2,0,13
2010,7,7,111,15.85,93.27,7,0,0,0,45,0,0,0.0,0.0,0.0,,45,0,0,0,1,0,4697,0,0.1368164591557127,0.0,6.593864104422594,2.1349264014315263,Average,169,157,4697,0,37,2,0,13
2011,16,13,312,34.66,128.39,21,14,2,0,65,0,0,0.0,0.0,0.0,,65,0,0,0,1,0,4697,0,1.1575998865498356,0.0,6.593864104422594,2.543239771980862,Average,169,157,4697,0,37,2,0,13
2012,16,13,319,39.87,161.11,26,15,3,0,64*,0,0,0.0,0.0,0.0,,64,1,0,0,1,0,4697,0,1.7084549862038425,0.0,6.593864104422594,2.763581811622123,Average,169,157,4697,0,37,2,0,13
2013,14,14,360,36.0,164.38,34,15,2,0,64,0,0,0.0,0.0,0.0,,64,0,0,0,1,0,4697,0,1.7762255053189395,0.0,6.593864104422594,2.7906900192410538,Average,169,157,4697,0,37,2,0,13
2014,14,13,395,35.9,158.63,26,24,3,0,89*,0,0,0.0,0.0,0.0,,89,1,0,0,1,0,4697,0,1.8755169468599944,0.0,6.593864104422594,2.830406595817759,Average,169,157,4697,0,37,2,0,13
2015,16,14,513,46.63,175.08,60,22,2,1,133*,0,0,0.0,0.0,0.0,,133,1,0,0,1,0,4697,0,3.491913224387606,0.0,6.593864104422594,3.476965106182245,Average,169,157,4697,0,37,2,0,13
2016,16,16,687,52.84,168.79,57,37,6,1,129*,0,0,0.0,0.0,0.0,,129,1,0,0,1,0,4697,0,5.108699802568869,0.0,6.593864104422594,4.123679736808036,Good,169,157,4697,0,37,2,0,13
2017,9,9,216,27.0,132.51,12,16,1,0,89*,0,0,0.0,0.0,0.0,,89,1,0,0,1,0,4697,0,0.6443328798073598,0.0,6.593864104422594,2.3379329694891786,Average,169,157,4697,0,37,2,0,13
2018,12,11,480,53.33,174.54,39,30,6,0,90*,0,0,0.0,0.0,0.0,,90,1,0,0,1,0,4697,0,3.725219922728315,0.0,6.593864104422594,3.570287785425206,Average,169,157,4697,0,37,2,0,13
2019,13,13,442,44.2,154.0,31,26,5,0,82*,0,0,0.0,0.0,0.0,,82,1,0,0,1,0,4697,0,2.508472728184569,0.0,6.593864104422594,3.0835889080944066,Average,169,157,4697,0,37,2,0,13
2020,15,14,454,45.4,158.74,33,23,5,0,73*,0,0,0.0,0.0,0.0,,73,1,0,0,1,0,4697,0,2.7279864318007623,0.0,6.593864104422594,3.171394389453078,Average,169,157,4697,0,37,2,0,13
2021,15,14,313,31.3,148.34,23,16,2,0,76*,0,0,0.0,0.0,0.0,,76,1,0,0,1,0,4697,0,1.2116887455285628,0.0,6.593864104422594,2.564875315550718,Average,169,157,4697,0,37,2,0,13
2026,11,1,2,0.0,66.66,0,0,0,0,2*,1,15,25.93,10.01,15.53,17/2,2,1,17,2,2,0,2,15,1.1115766910057557e-12,1.6443496749189837,3.327134089641064,1.5429328011239736,Poor,11,1,2,15,0,0,1,1
2008,5,5,42,8.4,80.76,5,0,0,0,24,0,0,0.0,0.0,0.0,,24,0,0,0,3,0,53,0,0.0237557645124599,0.0,2.1371305789269432,0.6837137500331774,Poor,7,6,53,0,0,0,0,2
2009,2,1,11,11.0,57.89,2,0,0,0,11,0,0,0.0,0.0,0.0,,11,0,0,0,3,0,53,0,0.0058402716075034,0.0,2.1371305789269432,0.676547552878361,Poor,7,6,53,0,0,0,0,2
2010,1,1,21,21.0,100.0,0,1,0,0,21,0,0,0.0,0.0,0.0,,21,0,0,0,4,0,2091,1,0.0367690758119454,0.0,4.924123381656155,1.5681458570083804,Poor,92,90,2091,1,15,0,1,11
2011,6,6,47,7.83,102.17,3,3,0,0,25,0,0,0.0,0.0,0.0,,25,0,0,0,4,0,2091,1,0.0313492487701797,0.0,4.924123381656155,1.565977926193842,Poor,92,90,2091,1,15,0,1,11
2012,2,2,55,27.5,107.84,8,0,0,0,30,0,0,0.0,0.0,0.0,,30,0,0,0,4,0,2091,1,0.1359938869626014,0.0,4.924123381656155,1.6078357814289528,Poor,92,90,2091,1,15,0,1,11
2013,14,14,456,32.57,135.71,54,16,4,0,67,0,1,49.0,12.25,24.0,1/11,67,0,1,11,4,0,2091,1,1.6805002291320557,0.0474031658715742,4.924123381656155,2.2398592674261835,Average,92,90,2091,1,15,0,1,11
2014,13,13,309,28.09,117.49,31,9,2,0,88*,0,0,0.0,0.0,0.0,,88,1,0,0,4,0,2091,1,0.8502668490557661,0.0,4.924123381656155,1.8935449659805095,Poor,92,90,2091,1,15,0,1,11
2015,3,3,23,11.5,69.69,4,0,0,0,10*,0,0,0.0,0.0,0.0,,10,1,0,0,4,0,2091,1,0.0153688108515872,0.0,4.924123381656155,1.559585751032797,Poor,92,90,2091,1,15,0,1,11
2016,13,12,393,39.3,131.43,45,11,5,0,74,0,0,0.0,0.0,0.0,,74,0,0,0,4,0,2091,1,1.6924807310347498,0.0,4.924123381656155,2.2304305184352176,Average,92,90,2091,1,15,0,1,11
2017,13,13,299,24.91,166.11,25,19,2,0,72,0,0,0.0,0.0,0.0,,72,0,0,0,4,0,2091,1,1.0315370195135938,0.0,4.924123381656155,1.9660530340911324,Poor,92,90,2091,1,15,0,1,11
2018,10,9,134,16.75,134.0,6,8,0,0,46,0,0,0.0,0.0,0.0,,46,0,0,0,4,0,2091,1,0.2507659307265967,0.0,4.924123381656155,1.6537445988886421,Poor,92,90,2091,1,15,0,1,11
2020,12,12,268,22.33,111.2,28,8,1,0,52,0,0,0.0,0.0,0.0,,52,0,0,0,4,0,2091,1,0.5548459607189911,0.0,4.924123381656155,1.775376610763968,Poor,92,90,2091,1,15,0,1,11
2022,5,5,86,17.2,140.98,10,3,1,0,58,1,0,0.0,0.0,0.0,,58,0,0,0,4,0,2091,1,0.1738715512510307,0.0,4.924123381656155,1.6229868471291735,Poor,92,90,2091,1,15,0,1,11
2023,1,1,1,0.0,100.0,0,0,0,0,1*,0,0,0.0,0.0,0.0,,1,1,0,0,6,0,1,0,8.337658989709301e-13,0.0,3.2211270225032544,1.0161853109631354,Poor,1,1,1,0,0,0,0,1
2020,12,8,111,22.2,170.76,8,6,0,0,33,0,1,96.0,13.71,42.0,1/41,33,0,1,41,7,0,857,1,0.3508376745737008,0.0216187623995022,4.236992978661012,1.4834864049979095,Poor,71,60,857,1,0,0,20,7
2021,11,10,111,12.33,127.58,4,8,0,0,28,0,0,0.0,0.0,0.0,,28,0,0,0,7,0,857,1,0.1455837083783332,0.0,4.236992978661012,1.394899189888499,Poor,71,60,857,1,0,0,20,7
2022,2,2,4,2.0,57.14,0,0,0,0,4,1,0,0.0,0.0,0.0,,4,0,0,0,7,0,857,1,0.0003811310668133,0.0,4.236992978661012,1.336818159021972,Poor,71,60,857,1,0,0,20,7
2023,9,8,169,42.25,132.03,10,11,0,0,37*,4,0,0.0,0.0,0.0,,37,1,0,0,7,0,857,1,0.7860137899989343,0.0,4.236992978661012,1.6510712222805675,Poor,71,60,857,1,0,0,20,7
2024,16,12,182,18.2,168.51,15,11,0,0,37*,9,0,0.0,0.0,0.0,,37,1,0,0,7,0,857,1,0.4653852118622368,0.0,4.236992978661012,1.52281979115414,Poor,71,60,857,1,0,0,20,7
2025,13,12,164,20.5,176.34,8,14,0,0,45,4,0,0.0,0.0,0.0,,45,0,0,0,7,0,857,1,0.4943023440425237,0.0,4.236992978661012,1.5343866440146878,Poor,71,60,857,1,0,0,20,7
2026,8,8,116,19.33,131.81,10,5,0,0,37*,2,0,0.0,0.0,0.0,,37,1,0,0,7,0,857,1,0.2464236169172321,0.0,4.236992978661012,1.4352351532637226,Poor,71,60,857,1,0,0,20,7
2008,1,1,0,0.0,0.0,0,0,0,0,0*,0,0,0.0,0.0,0.0,,0,1,0,0,8,0,0,0,8.337658905498946e-31,0.0,3.2211270225032544,1.0161853109628018,Poor,1,1,0,0,0,0,0,1
2022,1,1,4,4.0,50.0,1,0,0,0,4,0,0,0.0,0.0,0.0,,4,0,0,0,9,0,4,0,0.0006670127159083,0.0,3.2211270225032544,1.0164521160488984,Poor,1,1,4,0,0,0,0,1
2010,1,1,5,5.0,125.0,1,0,0,0,5,0,1,39.0,13.0,18.0,2/37,5,0,2,37,10,0,34,7,0.0026055184185989,0.056121795491644,2.1408744980758283,0.6932713034345557,Poor,14,8,34,7,0,0,0,3
2011,12,6,27,9.0,135.0,3,1,0,0,11,0,5,64.2,9.44,40.8,2/37,11,0,2,37,10,0,34,7,0.0273516900820363,0.2347483209353315,2.1408744980758283,0.7567577296695505,Poor,14,8,34,7,0,0,0,3
2013,1,1,2,2.0,100.0,0,0,0,0,2,0,1,37.0,9.25,24.0,2/37,2,0,2,37,10,0,34,7,0.0003335063595883,0.0831373274068542,2.1408744980758283,0.7004671581783187,Poor,14,8,34,7,0,0,0,3
2022,8,7,108,18.0,144.0,14,3,0,0,43,4,0,0.0,0.0,0.0,,43,0,0,0,12,0,292,0,0.2334010885044622,0.0,2.9262692093012177,1.0165254535273311,Poor,27,20,292,0,0,0,17,4
2023,9,6,114,19.0,137.34,6,7,0,0,42,4,0,0.0,0.0,0.0,,42,0,0,0,12,0,292,0,0.2480273766163502,0.0,2.9262692093012177,1.022375968766236,Poor,27,20,292,0,0,0,17,4
2024,2,2,9,4.5,56.25,1,0,0,0,8,2,0,0.0,0.0,0.0,,8,0,0,0,12,0,292,0,0.001899422926078,0.0,2.9262692093012177,0.9239247873885782,Poor,27,20,292,0,0,0,17,4
2025,8,5,61,12.2,100.0,2,4,0,0,43,7,0,0.0,0.0,0.0,,43,0,0,0,12,0,292,0,0.0620488576419597,0.0,2.9262692093012177,0.947984561250871,Poor,27,20,292,0,0,0,17,4
2008,2,1,0,0.0,0.0,0,0,0,0,0*,0,0,0.0,0.0,0.0,,0,1,0,0,13,0,19,0,8.337658905498946e-31,0.0,1.6954954396058088,0.5348865625276968,Poor,3,2,19,0,0,0,0,2
2013,1,1,19,19.0,90.47,1,0,0,0,19,0,0,0.0,0.0,0.0,,19,0,0,0,13,0,19,0,0.0272305188742892,0.0,1.6954954396058088,0.5457787700665203,Poor,3,2,19,0,0,0,0,2
